"pridelek";"leto";"Kolicina"
"Pšenica";"2010";4,8
"Pšenica";"2011";5,2
"Pšenica";"2012";5,4
"Pšenica";"2013";4,4
"Pšenica";"2014";5,2
"Pšenica";"2015";5,1
"Pšenica";"2016";5,2
"Pšenica";"2017";5
"Pšenica";"2018";4,4
"Pšenica";"2019";5,2
"Ječmen";"2010";4,3
"Ječmen";"2011";4,5
"Ječmen";"2012";4,7
"Ječmen";"2013";4
"Ječmen";"2014";4,9
"Ječmen";"2015";4,6
"Ječmen";"2016";4,8
"Ječmen";"2017";4,8
"Ječmen";"2018";4,2
"Ječmen";"2019";4,8
"Tritikala";"2010";4
"Tritikala";"2011";4,4
"Tritikala";"2012";4,4
"Tritikala";"2013";3,6
"Tritikala";"2014";4,7
"Tritikala";"2015";4,7
"Tritikala";"2016";4,7
"Tritikala";"2017";4,6
"Tritikala";"2018";4,2
"Tritikala";"2019";4,6
"Oves";"2010";2,9
"Oves";"2011";3,2
"Oves";"2012";3,2
"Oves";"2013";2,6
"Oves";"2014";3,3
"Oves";"2015";3,3
"Oves";"2016";3,2
"Oves";"2017";3,2
"Oves";"2018";2,7
"Oves";"2019";3,3
"Riž";"2010";3,4
"Riž";"2011";3,5
"Riž";"2012";3,8
"Riž";"2013";3,4
"Riž";"2014";4,1
"Riž";"2015";3,8
"Riž";"2016";4,1
"Riž";"2017";4,1
"Riž";"2018";3,5
"Riž";"2019";3,8
"Koruza";"2010";8,5
"Koruza";"2011";8,7
"Koruza";"2012";7,1
"Koruza";"2013";5,4
"Koruza";"2014";9,1
"Koruza";"2015";9
"Koruza";"2016";9,5
"Koruza";"2017";7,1
"Koruza";"2018";9,5
"Koruza";"2019";9,3
"Silažna";"2010";44,1
"Silažna";"2011";46,5
"Silažna";"2012";39,4
"Silažna";"2013";30,3
"Silažna";"2014";48
"Silažna";"2015";49,4
"Silažna";"2016";49,7
"Silažna";"2017";40,5
"Silažna";"2018";48,8
"Silažna";"2019";47,4
"Krompir";"2010";24,5
"Krompir";"2011";26,4
"Krompir";"2012";23,4
"Krompir";"2013";18,8
"Krompir";"2014";26,9
"Krompir";"2015";27,4
"Krompir";"2016";26,8
"Krompir";"2017";24,4
"Krompir";"2018";25,9
"Krompir";"2019";23,6
"Buče za olje";"2010";0,6
"Buče za olje";"2011";0,7
"Buče za olje";"2012";0,6
"Buče za olje";"2013";0,5
"Buče za olje";"2014";0,6
"Buče za olje";"2015";0,7
"Buče za olje";"2016";0,8
"Buče za olje";"2017";0,6
"Buče za olje";"2018";0,8
"Buče za olje";"2019";0,6
"Repica";"2010";2,9
"Repica";"2011";2,9
"Repica";"2012";3,2
"Repica";"2013";2,5
"Repica";"2014";3,6
"Repica";"2015";2,2
"Repica";"2016";2,7
"Repica";"2017";2,6
"Repica";"2018";2,3
"Repica";"2019";2,9
"Hmelj";"2010";1,4
"Hmelj";"2011";1,6
"Hmelj";"2012";1,2
"Hmelj";"2013";1,1
"Hmelj";"2014";1,8
"Hmelj";"2015";1,5
"Hmelj";"2016";1,7
"Hmelj";"2017";1,4
"Hmelj";"2018";1,8
"Hmelj";"2019";1,6
"Trave";"2010";7,3
"Trave";"2011";7,1
"Trave";"2012";5,6
"Trave";"2013";5,1
"Trave";"2014";7
"Trave";"2015";7,4
"Trave";"2016";7,6
"Trave";"2017";5,8
"Trave";"2018";7,4
"Trave";"2019";7,6
"Deteljne";"2010";7,5
"Deteljne";"2011";7,3
"Deteljne";"2012";5,9
"Deteljne";"2013";5,4
"Deteljne";"2014";7,4
"Deteljne";"2015";7,7
"Deteljne";"2016";7,6
"Deteljne";"2017";6,2
"Deteljne";"2018";7,6
"Deteljne";"2019";7,6
"Detelja";"2010";7,4
"Detelja";"2011";7,5
"Detelja";"2012";5,6
"Detelja";"2013";5,2
"Detelja";"2014";7
"Detelja";"2015";7,1
"Detelja";"2016";7,3
"Detelja";"2017";5,8
"Detelja";"2018";6,9
"Detelja";"2019";6,8
"Lucerna";"2010";8,1
"Lucerna";"2011";7,7
"Lucerna";"2012";6,4
"Lucerna";"2013";6,1
"Lucerna";"2014";8,1
"Lucerna";"2015";8
"Lucerna";"2016";8,3
"Lucerna";"2017";6,7
"Lucerna";"2018";8,3
"Lucerna";"2019";8,2
"Trajni travniki";"2010";5,7
"Trajni travniki";"2011";5,5
"Trajni travniki";"2012";4,6
"Trajni travniki";"2013";4,2
"Trajni travniki";"2014";5,7
"Trajni travniki";"2015";5,9
"Trajni travniki";"2016";6
"Trajni travniki";"2017";4,5
"Trajni travniki";"2018";5,8
"Trajni travniki";"2019";5,8
"Zelje";"2010";35
"Zelje";"2011";35,9
"Zelje";"2012";28,4
"Zelje";"2013";25,6
"Zelje";"2014";32
"Zelje";"2015";34,4
"Zelje";"2016";35,1
"Zelje";"2017";31,9
"Zelje";"2018";34,8
"Zelje";"2019";34
"Grozdje";"2010";6,6
"Grozdje";"2011";7,4
"Grozdje";"2012";5,6
"Grozdje";"2013";6,2
"Grozdje";"2014";5,9
"Grozdje";"2015";7,5
"Grozdje";"2016";6
"Grozdje";"2017";5,6
"Grozdje";"2018";8,1
"Grozdje";"2019";6,8
"Jabolka";"2010";28
"Jabolka";"2011";29,7
"Jabolka";"2012";20,5
"Jabolka";"2013";26,3
"Jabolka";"2014";27,9
"Jabolka";"2015";34
"Jabolka";"2016";17,7
"Jabolka";"2017";5,8
"Jabolka";"2018";37,2
"Jabolka";"2019";23,9
"Oljke";"2010";2,1
"Oljke";"2011";1,9
"Oljke";"2012";0,8
"Oljke";"2013";1,6
"Oljke";"2014";0,8
"Oljke";"2015";1,5
"Oljke";"2016";1,4
"Oljke";"2017";1,4
"Oljke";"2018";3
"Oljke";"2019";1,4
"Breskve";"2010";15,7
"Breskve";"2011";16,3
"Breskve";"2012";13,6
"Breskve";"2013";14,2
"Breskve";"2014";11,7
"Breskve";"2015";17,5
"Breskve";"2016";15,7
"Breskve";"2017";8,7
"Breskve";"2018";16,9
"Breskve";"2019";15,1
