"Povprečni pridelek (t/ha) pomembnejših kmetijskih kultur po: KMETIJSKE KULTURE, LETO ,  STATISTIČNA REGIJA";"Proizvodno leto";"Kolicina"
"Pšenica in pira";"Pomurska";4,9
"Pšenica in pira";"Podravska";5
"Pšenica in pira";"Koroška";3,5
"Pšenica in pira";"Savinjska";4,7
"Pšenica in pira";"Zasavska";3,9
"Pšenica in pira";"Posavska";4
"Pšenica in pira";"Jugovzhodna Slovenija";3,7
"Pšenica in pira";"Osrednjeslovenska";4,2
"Pšenica in pira";"Gorenjska";5
"Pšenica in pira";"Primorsko-notranjska";4,1
"Pšenica in pira";"Goriška";4,3
"Pšenica in pira";"Obalno-kraška";3,2
"Ječmen";"Pomurska";4,4
"Ječmen";"Podravska";4,6
"Ječmen";"Koroška";3,1
"Ječmen";"Savinjska";3,9
"Ječmen";"Zasavska";3,5
"Ječmen";"Posavska";3,9
"Ječmen";"Jugovzhodna Slovenija";3,5
"Ječmen";"Osrednjeslovenska";4,4
"Ječmen";"Gorenjska";4,7
"Ječmen";"Primorsko-notranjska";4
"Ječmen";"Goriška";3,7
"Ječmen";"Obalno-kraška";2,9
"Tritikala";"Pomurska";4
"Tritikala";"Podravska";4,2
"Tritikala";"Koroška";3,2
"Tritikala";"Savinjska";4,5
"Tritikala";"Zasavska";3,5
"Tritikala";"Posavska";3,7
"Tritikala";"Jugovzhodna Slovenija";3,4
"Tritikala";"Osrednjeslovenska";4,5
"Tritikala";"Gorenjska";4
"Tritikala";"Primorsko-notranjska";3,8
"Tritikala";"Goriška";4,2
"Tritikala";"Obalno-kraška";3,3
"Oves";"Pomurska";2,8
"Oves";"Podravska";3
"Oves";"Koroška";2,2
"Oves";"Savinjska";3,1
"Oves";"Zasavska";2,9
"Oves";"Posavska";3
"Oves";"Jugovzhodna Slovenija";2,4
"Oves";"Osrednjeslovenska";3,3
"Oves";"Gorenjska";4,1
"Oves";"Primorsko-notranjska";2,7
"Oves";"Goriška";2,7
"Oves";"Obalno-kraška";2,2
"Rž in soržica";"Pomurska";3
"Rž in soržica";"Podravska";3,9
"Rž in soržica";"Koroška";2,9
"Rž in soržica";"Savinjska";3,2
"Rž in soržica";"Posavska";2,8
"Rž in soržica";"Jugovzhodna Slovenija";3,7
"Rž in soržica";"Osrednjeslovenska";4,1
"Rž in soržica";"Gorenjska";3,5
"Rž in soržica";"Primorsko-notranjska";4,9
"Rž in soržica";"Obalno-kraška";3,7
"Koruza za zrnje";"Pomurska";9,1
"Koruza za zrnje";"Podravska";8,7
"Koruza za zrnje";"Koroška";7,5
"Koruza za zrnje";"Savinjska";6,9
"Koruza za zrnje";"Zasavska";3,9
"Koruza za zrnje";"Posavska";7,6
"Koruza za zrnje";"Jugovzhodna Slovenija";7,4
"Koruza za zrnje";"Osrednjeslovenska";6,8
"Koruza za zrnje";"Gorenjska";8,7
"Koruza za zrnje";"Primorsko-notranjska";7,3
"Koruza za zrnje";"Goriška";8,8
"Koruza za zrnje";"Obalno-kraška";6,5
"Silažna koruza";"Pomurska";46,8
"Silažna koruza";"Podravska";45,2
"Silažna koruza";"Koroška";41,3
"Silažna koruza";"Savinjska";40,7
"Silažna koruza";"Zasavska";38,6
"Silažna koruza";"Posavska";40,7
"Silažna koruza";"Jugovzhodna Slovenija";40,5
"Silažna koruza";"Osrednjeslovenska";45,1
"Silažna koruza";"Gorenjska";48,5
"Silažna koruza";"Primorsko-notranjska";44,3
"Silažna koruza";"Goriška";39,5
"Silažna koruza";"Obalno-kraška";44
"Krompir";"Pomurska";26,9
"Krompir";"Podravska";24,4
"Krompir";"Koroška";19
"Krompir";"Savinjska";22,7
"Krompir";"Zasavska";16,4
"Krompir";"Posavska";21,8
"Krompir";"Jugovzhodna Slovenija";21
"Krompir";"Osrednjeslovenska";25,1
"Krompir";"Gorenjska";27,4
"Krompir";"Primorsko-notranjska";26,5
"Krompir";"Goriška";26,6
"Krompir";"Obalno-kraška";23,1
"Buče za olje";"Pomurska";0,6
"Buče za olje";"Podravska";0,6
"Buče za olje";"Koroška";0,8
"Buče za olje";"Savinjska";0,6
"Buče za olje";"Posavska";0,7
"Buče za olje";"Jugovzhodna Slovenija";0,7
"Buče za olje";"Osrednjeslovenska";0,7
"Buče za olje";"Gorenjska";0,7
"Buče za olje";"Primorsko-notranjska";0,7
"Buče za olje";"Obalno-kraška";0,7
"Oljna ogrščica in repica";"Pomurska";3
"Oljna ogrščica in repica";"Podravska";2,9
"Oljna ogrščica in repica";"Koroška";2,8
"Oljna ogrščica in repica";"Savinjska";3,2
"Oljna ogrščica in repica";"Posavska";2,3
"Oljna ogrščica in repica";"Jugovzhodna Slovenija";2,4
"Oljna ogrščica in repica";"Osrednjeslovenska";3
"Oljna ogrščica in repica";"Gorenjska";4,2
"Oljna ogrščica in repica";"Goriška";2,8
"Hmelj";"Podravska";0,4
"Hmelj";"Koroška";1,9
"Hmelj";"Savinjska";1,4
"Trave (1 do 5 let)";"Pomurska";8,7
"Trave (1 do 5 let)";"Podravska";8,3
"Trave (1 do 5 let)";"Koroška";7,3
"Trave (1 do 5 let)";"Savinjska";7,9
"Trave (1 do 5 let)";"Zasavska";4,5
"Trave (1 do 5 let)";"Posavska";7
"Trave (1 do 5 let)";"Jugovzhodna Slovenija";6,6
"Trave (1 do 5 let)";"Osrednjeslovenska";6,4
"Trave (1 do 5 let)";"Gorenjska";8,5
"Trave (1 do 5 let)";"Primorsko-notranjska";4,6
"Trave (1 do 5 let)";"Goriška";9,1
"Trave (1 do 5 let)";"Obalno-kraška";5,7
"Travno deteljne mešanice (1 do 5 let)";"Pomurska";8
"Travno deteljne mešanice (1 do 5 let)";"Podravska";8,1
"Travno deteljne mešanice (1 do 5 let)";"Koroška";7,9
"Travno deteljne mešanice (1 do 5 let)";"Savinjska";8
"Travno deteljne mešanice (1 do 5 let)";"Zasavska";5,5
"Travno deteljne mešanice (1 do 5 let)";"Posavska";6,9
"Travno deteljne mešanice (1 do 5 let)";"Jugovzhodna Slovenija";7
"Travno deteljne mešanice (1 do 5 let)";"Osrednjeslovenska";7
"Travno deteljne mešanice (1 do 5 let)";"Gorenjska";7,7
"Travno deteljne mešanice (1 do 5 let)";"Primorsko-notranjska";4,9
"Travno deteljne mešanice (1 do 5 let)";"Goriška";9,4
"Travno deteljne mešanice (1 do 5 let)";"Obalno-kraška";5,2
"Deteljno travne mešanice (1 do 5 let)";"Pomurska";7,6
"Deteljno travne mešanice (1 do 5 let)";"Podravska";7,7
"Deteljno travne mešanice (1 do 5 let)";"Koroška";8,9
"Deteljno travne mešanice (1 do 5 let)";"Savinjska";7,7
"Deteljno travne mešanice (1 do 5 let)";"Zasavska";5,7
"Deteljno travne mešanice (1 do 5 let)";"Posavska";6,6
"Deteljno travne mešanice (1 do 5 let)";"Jugovzhodna Slovenija";7,7
"Deteljno travne mešanice (1 do 5 let)";"Osrednjeslovenska";6,2
"Deteljno travne mešanice (1 do 5 let)";"Gorenjska";10,3
"Deteljno travne mešanice (1 do 5 let)";"Primorsko-notranjska";5
"Deteljno travne mešanice (1 do 5 let)";"Goriška";9,2
"Deteljno travne mešanice (1 do 5 let)";"Obalno-kraška";5,6
