"Povprečni pridelek (t/ha) pomembnejših kmetijskih kultur po: KMETIJSKE KULTURE, LETO ,  STATISTIČNA REGIJA";"Proizvodno_leto";"Kolicina"
"Pšenica in pira";"Pomurska";5,5
"Pšenica in pira";"Podravska";5
"Pšenica in pira";"Koroška";5,3
"Pšenica in pira";"Savinjska";5,2
"Pšenica in pira";"Zasavska";2,7
"Pšenica in pira";"Posavska";5
"Pšenica in pira";"Jugovzhodna Slovenija";4,5
"Pšenica in pira";"Osrednjeslovenska";4,8
"Pšenica in pira";"Gorenjska";4,3
"Pšenica in pira";"Primorsko-notranjska";4,5
"Pšenica in pira";"Goriška";4
"Pšenica in pira";"Obalno-kraška";3,8
"Ječmen";"Pomurska";5,6
"Ječmen";"Podravska";4,6
"Ječmen";"Koroška";5
"Ječmen";"Savinjska";4,1
"Ječmen";"Zasavska";2,3
"Ječmen";"Posavska";4,7
"Ječmen";"Jugovzhodna Slovenija";4
"Ječmen";"Osrednjeslovenska";4,8
"Ječmen";"Gorenjska";4,8
"Ječmen";"Primorsko-notranjska";4,6
"Ječmen";"Goriška";4,4
"Ječmen";"Obalno-kraška";3,5
"Tritikala";"Pomurska";4,8
"Tritikala";"Podravska";5,1
"Tritikala";"Koroška";5
"Tritikala";"Savinjska";4,5
"Tritikala";"Zasavska";4,7
"Tritikala";"Posavska";4,5
"Tritikala";"Jugovzhodna Slovenija";4,1
"Tritikala";"Osrednjeslovenska";4,2
"Tritikala";"Gorenjska";5
"Tritikala";"Primorsko-notranjska";4,6
"Tritikala";"Goriška";4,1
"Tritikala";"Obalno-kraška";4,1
"Oves";"Pomurska";3,7
"Oves";"Podravska";3,6
"Oves";"Koroška";2,9
"Oves";"Savinjska";2,9
"Oves";"Zasavska";2
"Oves";"Posavska";3,1
"Oves";"Jugovzhodna Slovenija";2,3
"Oves";"Osrednjeslovenska";2,9
"Oves";"Gorenjska";3,2
"Oves";"Primorsko-notranjska";3
"Oves";"Goriška";2,8
"Oves";"Obalno-kraška";2,8
"Rž in soržica";"Pomurska";4
"Rž in soržica";"Podravska";4,2
"Rž in soržica";"Koroška";4
"Rž in soržica";"Savinjska";3,2
"Rž in soržica";"Zasavska";3,8
"Rž in soržica";"Posavska";3,4
"Rž in soržica";"Jugovzhodna Slovenija";2,2
"Rž in soržica";"Osrednjeslovenska";3,1
"Rž in soržica";"Gorenjska";3,2
"Rž in soržica";"Primorsko-notranjska";3,8
"Rž in soržica";"Goriška";3,8
"Rž in soržica";"Obalno-kraška";4,3
"Koruza za zrnje";"Pomurska";9,9
"Koruza za zrnje";"Podravska";9,2
"Koruza za zrnje";"Koroška";8,7
"Koruza za zrnje";"Savinjska";6,6
"Koruza za zrnje";"Zasavska";4,7
"Koruza za zrnje";"Posavska";9,8
"Koruza za zrnje";"Jugovzhodna Slovenija";8,8
"Koruza za zrnje";"Osrednjeslovenska";6,7
"Koruza za zrnje";"Gorenjska";8,7
"Koruza za zrnje";"Primorsko-notranjska";7,9
"Koruza za zrnje";"Goriška";5,1
"Koruza za zrnje";"Obalno-kraška";5,7
"Silažna koruza";"Pomurska";49,8
"Silažna koruza";"Podravska";47,5
"Silažna koruza";"Koroška";45,6
"Silažna koruza";"Savinjska";45,6
"Silažna koruza";"Zasavska";40,6
"Silažna koruza";"Posavska";51,1
"Silažna koruza";"Jugovzhodna Slovenija";42,3
"Silažna koruza";"Osrednjeslovenska";49,5
"Silažna koruza";"Gorenjska";52,2
"Silažna koruza";"Primorsko-notranjska";45,1
"Silažna koruza";"Goriška";20,5
"Silažna koruza";"Obalno-kraška";30
"Krompir";"Pomurska";28,2
"Krompir";"Podravska";25,9
"Krompir";"Koroška";24,2
"Krompir";"Savinjska";18,4
"Krompir";"Zasavska";15,9
"Krompir";"Posavska";25,4
"Krompir";"Jugovzhodna Slovenija";19,6
"Krompir";"Osrednjeslovenska";24,5
"Krompir";"Gorenjska";26,4
"Krompir";"Primorsko-notranjska";22,8
"Krompir";"Goriška";19,9
"Krompir";"Obalno-kraška";19,9
"Buče za olje";"Pomurska";0,6
"Buče za olje";"Podravska";0,6
"Buče za olje";"Koroška";0,4
"Buče za olje";"Savinjska";0,8
"Buče za olje";"Zasavska";0,6
"Buče za olje";"Posavska";0,8
"Buče za olje";"Jugovzhodna Slovenija";1,2
"Buče za olje";"Osrednjeslovenska";0,7
"Buče za olje";"Gorenjska";0,6
"Buče za olje";"Primorsko-notranjska";0,6
"Buče za olje";"Goriška";0,6
"Buče za olje";"Obalno-kraška";0,4
"Oljna ogrščica in repica";"Pomurska";3,1
"Oljna ogrščica in repica";"Podravska";2,7
"Oljna ogrščica in repica";"Savinjska";3
"Oljna ogrščica in repica";"Posavska";2,7
"Oljna ogrščica in repica";"Jugovzhodna Slovenija";2,9
"Oljna ogrščica in repica";"Osrednjeslovenska";2
"Oljna ogrščica in repica";"Gorenjska";3
"Oljna ogrščica in repica";"Primorsko-notranjska";2,9
"Oljna ogrščica in repica";"Goriška";3
"Oljna ogrščica in repica";"Obalno-kraška";2,4
"Hmelj";"Podravska";1,4
"Hmelj";"Koroška";1,9
"Hmelj";"Savinjska";1,5
"Trave (1 do 5 let)";"Pomurska";7,8
"Trave (1 do 5 let)";"Podravska";8,9
"Trave (1 do 5 let)";"Koroška";7,6
"Trave (1 do 5 let)";"Savinjska";8,4
"Trave (1 do 5 let)";"Zasavska";4,1
"Trave (1 do 5 let)";"Posavska";7,9
"Trave (1 do 5 let)";"Jugovzhodna Slovenija";7,3
"Trave (1 do 5 let)";"Osrednjeslovenska";6,7
"Trave (1 do 5 let)";"Gorenjska";8,4
"Trave (1 do 5 let)";"Primorsko-notranjska";6,1
"Trave (1 do 5 let)";"Goriška";5,4
"Trave (1 do 5 let)";"Obalno-kraška";4,2
"Travno deteljne mešanice (1 do 5 let)";"Pomurska";7,4
"Travno deteljne mešanice (1 do 5 let)";"Podravska";8,3
"Travno deteljne mešanice (1 do 5 let)";"Koroška";7,6
"Travno deteljne mešanice (1 do 5 let)";"Savinjska";8,7
"Travno deteljne mešanice (1 do 5 let)";"Zasavska";4,5
"Travno deteljne mešanice (1 do 5 let)";"Posavska";8,2
"Travno deteljne mešanice (1 do 5 let)";"Jugovzhodna Slovenija";7,6
"Travno deteljne mešanice (1 do 5 let)";"Osrednjeslovenska";7
"Travno deteljne mešanice (1 do 5 let)";"Gorenjska";7,4
"Travno deteljne mešanice (1 do 5 let)";"Primorsko-notranjska";5,8
"Travno deteljne mešanice (1 do 5 let)";"Goriška";5,8
"Travno deteljne mešanice (1 do 5 let)";"Obalno-kraška";4,2
"Deteljno travne mešanice (1 do 5 let)";"Pomurska";7,3
"Deteljno travne mešanice (1 do 5 let)";"Podravska";7,8
"Deteljno travne mešanice (1 do 5 let)";"Koroška";7,8
"Deteljno travne mešanice (1 do 5 let)";"Savinjska";8,3
"Deteljno travne mešanice (1 do 5 let)";"Zasavska";4,8
"Deteljno travne mešanice (1 do 5 let)";"Posavska";8,5
"Deteljno travne mešanice (1 do 5 let)";"Jugovzhodna Slovenija";8,6
"Deteljno travne mešanice (1 do 5 let)";"Osrednjeslovenska";7,2
"Deteljno travne mešanice (1 do 5 let)";"Gorenjska";8,3
"Deteljno travne mešanice (1 do 5 let)";"Primorsko-notranjska";5,6
"Deteljno travne mešanice (1 do 5 let)";"Goriška";6,4
"Deteljno travne mešanice (1 do 5 let)";"Obalno-kraška";4,8
"Detelja";"Pomurska";6,1
"Detelja";"Podravska";6,9
"Detelja";"Koroška";7,6
"Detelja";"Savinjska";9,1
"Detelja";"Zasavska";4,1
"Detelja";"Posavska";9
"Detelja";"Jugovzhodna Slovenija";8,8
"Detelja";"Osrednjeslovenska";6,9
"Detelja";"Gorenjska";7,9
"Detelja";"Primorsko-notranjska";5,7
"Detelja";"Goriška";6,6
"Detelja";"Obalno-kraška";5
"Lucerna";"Pomurska";6,8
"Lucerna";"Podravska";7,6
"Lucerna";"Koroška";7,7
"Lucerna";"Savinjska";9,5
"Lucerna";"Zasavska";4,5
"Lucerna";"Posavska";8,8
"Lucerna";"Jugovzhodna Slovenija";9
"Lucerna";"Osrednjeslovenska";7,6
"Lucerna";"Gorenjska";8,2
"Lucerna";"Primorsko-notranjska";6,3
"Lucerna";"Goriška";6,9
"Lucerna";"Obalno-kraška";5
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Pomurska";5,5
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Podravska";6,5
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Koroška";6,4
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Savinjska";6,7
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Zasavska";3,7
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Posavska";6,3
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Jugovzhodna Slovenija";6,2
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Osrednjeslovenska";6
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Gorenjska";5,8
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Primorsko-notranjska";5,4
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Goriška";4,5
"Trajni travniki in pašniki, vključno s skupnimi travniki in pašniki";"Obalno-kraška";2,8
"Belo zelje";"Pomurska";34,2
"Belo zelje";"Podravska";34,7
"Belo zelje";"Koroška";25,8
"Belo zelje";"Savinjska";21,3
"Belo zelje";"Zasavska";15,2
"Belo zelje";"Posavska";26,8
"Belo zelje";"Jugovzhodna Slovenija";25,1
"Belo zelje";"Osrednjeslovenska";35,2
"Belo zelje";"Gorenjska";46
"Belo zelje";"Primorsko-notranjska";39
"Belo zelje";"Goriška";20,9
"Belo zelje";"Obalno-kraška";27,5
"Grozdje";"Pomurska";7
"Grozdje";"Podravska";7,6
"Grozdje";"Koroška";6,8
"Grozdje";"Savinjska";6,7
"Grozdje";"Zasavska";4,2
"Grozdje";"Posavska";7,3
"Grozdje";"Jugovzhodna Slovenija";7,1
"Grozdje";"Osrednjeslovenska";6,5
"Grozdje";"Gorenjska";6,7
"Grozdje";"Primorsko-notranjska";6,7
"Grozdje";"Goriška";6
"Grozdje";"Obalno-kraška";5,9
"Jabolka v intenzivnih sadovnjakih";"Pomurska";29,8
"Jabolka v intenzivnih sadovnjakih";"Podravska";22
"Jabolka v intenzivnih sadovnjakih";"Koroška";0,5
"Jabolka v intenzivnih sadovnjakih";"Savinjska";29,1
"Jabolka v intenzivnih sadovnjakih";"Zasavska";22,6
"Jabolka v intenzivnih sadovnjakih";"Posavska";23,5
"Jabolka v intenzivnih sadovnjakih";"Jugovzhodna Slovenija";18,7
"Jabolka v intenzivnih sadovnjakih";"Osrednjeslovenska";23,7
"Jabolka v intenzivnih sadovnjakih";"Gorenjska";10,6
