"pridelek";"Regija";"leto";"Kolicina"
"Pšenica";"Pomurska";"2010";4,9
"Pšenica";"Pomurska";"2011";5,2
"Pšenica";"Pomurska";"2012";5,7
"Pšenica";"Pomurska";"2013";4,3
"Pšenica";"Pomurska";"2014";5,2
"Pšenica";"Pomurska";"2015";5
"Pšenica";"Pomurska";"2016";5,1
"Pšenica";"Pomurska";"2017";5,3
"Pšenica";"Pomurska";"2018";4,3
"Pšenica";"Pomurska";"2019";5,5
"Pšenica";"Podravska";"2010";5
"Pšenica";"Podravska";"2011";5,3
"Pšenica";"Podravska";"2012";5,5
"Pšenica";"Podravska";"2013";4,8
"Pšenica";"Podravska";"2014";5,7
"Pšenica";"Podravska";"2015";5,5
"Pšenica";"Podravska";"2016";5,7
"Pšenica";"Podravska";"2017";5,1
"Pšenica";"Podravska";"2018";4,6
"Pšenica";"Podravska";"2019";5
"Pšenica";"Koroška";"2010";3,5
"Pšenica";"Koroška";"2011";3,8
"Pšenica";"Koroška";"2012";3,8
"Pšenica";"Koroška";"2013";3,6
"Pšenica";"Koroška";"2014";3,8
"Pšenica";"Koroška";"2015";4,4
"Pšenica";"Koroška";"2016";4,2
"Pšenica";"Koroška";"2017";4,4
"Pšenica";"Koroška";"2018";4,3
"Pšenica";"Koroška";"2019";5,3
"Pšenica";"Savinjska";"2010";4,7
"Pšenica";"Savinjska";"2011";4,8
"Pšenica";"Savinjska";"2012";5
"Pšenica";"Savinjska";"2013";4,6
"Pšenica";"Savinjska";"2014";5,2
"Pšenica";"Savinjska";"2015";5,3
"Pšenica";"Savinjska";"2016";5
"Pšenica";"Savinjska";"2017";4,8
"Pšenica";"Savinjska";"2018";4
"Pšenica";"Savinjska";"2019";5,2
"Pšenica";"Zasavska";"2010";3,9
"Pšenica";"Zasavska";"2011";4,5
"Pšenica";"Zasavska";"2012";3,9
"Pšenica";"Zasavska";"2013";3,7
"Pšenica";"Zasavska";"2014";4,1
"Pšenica";"Zasavska";"2015";4,1
"Pšenica";"Zasavska";"2016";3,5
"Pšenica";"Zasavska";"2017";3,4
"Pšenica";"Zasavska";"2018";2,6
"Pšenica";"Zasavska";"2019";2,7
"Pšenica";"Posavska";"2010";4
"Pšenica";"Posavska";"2011";4,6
"Pšenica";"Posavska";"2012";4,9
"Pšenica";"Posavska";"2013";3,8
"Pšenica";"Posavska";"2014";4,7
"Pšenica";"Posavska";"2015";4,8
"Pšenica";"Posavska";"2016";4,6
"Pšenica";"Posavska";"2017";4,1
"Pšenica";"Posavska";"2018";4,3
"Pšenica";"Posavska";"2019";5
"Pšenica";"Jugovzhodna Slovenija";"2010";3,7
"Pšenica";"Jugovzhodna Slovenija";"2011";4,2
"Pšenica";"Jugovzhodna Slovenija";"2012";4,2
"Pšenica";"Jugovzhodna Slovenija";"2013";2,9
"Pšenica";"Jugovzhodna Slovenija";"2014";4,3
"Pšenica";"Jugovzhodna Slovenija";"2015";4,3
"Pšenica";"Jugovzhodna Slovenija";"2016";4,3
"Pšenica";"Jugovzhodna Slovenija";"2017";3,8
"Pšenica";"Jugovzhodna Slovenija";"2018";3,6
"Pšenica";"Jugovzhodna Slovenija";"2019";4,5
"Pšenica";"Osrednjeslovenska";"2010";4,2
"Pšenica";"Osrednjeslovenska";"2011";5
"Pšenica";"Osrednjeslovenska";"2012";4,6
"Pšenica";"Osrednjeslovenska";"2013";3,9
"Pšenica";"Osrednjeslovenska";"2014";4,3
"Pšenica";"Osrednjeslovenska";"2015";5
"Pšenica";"Osrednjeslovenska";"2016";5
"Pšenica";"Osrednjeslovenska";"2017";4,7
"Pšenica";"Osrednjeslovenska";"2018";4,5
"Pšenica";"Osrednjeslovenska";"2019";4,8
"Pšenica";"Gorenjska";"2010";5
"Pšenica";"Gorenjska";"2011";5
"Pšenica";"Gorenjska";"2012";5,5
"Pšenica";"Gorenjska";"2013";5,2
"Pšenica";"Gorenjska";"2014";5,6
"Pšenica";"Gorenjska";"2015";5,4
"Pšenica";"Gorenjska";"2016";5
"Pšenica";"Gorenjska";"2017";4,7
"Pšenica";"Gorenjska";"2018";4,4
"Pšenica";"Gorenjska";"2019";4,3
"Pšenica";"Primorsko-notranjska";"2010";4,1
"Pšenica";"Primorsko-notranjska";"2011";4,3
"Pšenica";"Primorsko-notranjska";"2012";3,9
"Pšenica";"Primorsko-notranjska";"2013";4,1
"Pšenica";"Primorsko-notranjska";"2014";4,6
"Pšenica";"Primorsko-notranjska";"2015";4,4
"Pšenica";"Primorsko-notranjska";"2016";4,5
"Pšenica";"Primorsko-notranjska";"2017";4,3
"Pšenica";"Primorsko-notranjska";"2018";4,2
"Pšenica";"Primorsko-notranjska";"2019";4,5
"Pšenica";"Goriška";"2010";4,3
"Pšenica";"Goriška";"2011";4,3
"Pšenica";"Goriška";"2012";3,5
"Pšenica";"Goriška";"2013";3,1
"Pšenica";"Goriška";"2014";4,4
"Pšenica";"Goriška";"2015";4,5
"Pšenica";"Goriška";"2016";4,8
"Pšenica";"Goriška";"2017";4,2
"Pšenica";"Goriška";"2018";5,2
"Pšenica";"Goriška";"2019";4
"Pšenica";"Obalno-kraška";"2010";3,2
"Pšenica";"Obalno-kraška";"2011";3,9
"Pšenica";"Obalno-kraška";"2012";3,8
"Pšenica";"Obalno-kraška";"2013";3,4
"Pšenica";"Obalno-kraška";"2014";3,9
"Pšenica";"Obalno-kraška";"2015";3,8
"Pšenica";"Obalno-kraška";"2016";3,6
"Pšenica";"Obalno-kraška";"2017";3
"Pšenica";"Obalno-kraška";"2018";3,7
"Pšenica";"Obalno-kraška";"2019";3,8
"Ječmen";"Pomurska";"2010";4,4
"Ječmen";"Pomurska";"2011";4,8
"Ječmen";"Pomurska";"2012";5,2
"Ječmen";"Pomurska";"2013";3,9
"Ječmen";"Pomurska";"2014";4,9
"Ječmen";"Pomurska";"2015";4,5
"Ječmen";"Pomurska";"2016";4,6
"Ječmen";"Pomurska";"2017";5,1
"Ječmen";"Pomurska";"2018";4,1
"Ječmen";"Pomurska";"2019";5,6
"Ječmen";"Podravska";"2010";4,6
"Ječmen";"Podravska";"2011";4,8
"Ječmen";"Podravska";"2012";4,9
"Ječmen";"Podravska";"2013";4,7
"Ječmen";"Podravska";"2014";5,2
"Ječmen";"Podravska";"2015";4,9
"Ječmen";"Podravska";"2016";5,3
"Ječmen";"Podravska";"2017";5,2
"Ječmen";"Podravska";"2018";4,5
"Ječmen";"Podravska";"2019";4,6
"Ječmen";"Koroška";"2010";3,1
"Ječmen";"Koroška";"2011";3,3
"Ječmen";"Koroška";"2012";3,3
"Ječmen";"Koroška";"2013";3,3
"Ječmen";"Koroška";"2014";3,6
"Ječmen";"Koroška";"2015";4
"Ječmen";"Koroška";"2016";4
"Ječmen";"Koroška";"2017";4,1
"Ječmen";"Koroška";"2018";4,1
"Ječmen";"Koroška";"2019";5
"Ječmen";"Savinjska";"2010";3,9
"Ječmen";"Savinjska";"2011";4,1
"Ječmen";"Savinjska";"2012";4
"Ječmen";"Savinjska";"2013";4,3
"Ječmen";"Savinjska";"2014";4,7
"Ječmen";"Savinjska";"2015";4,6
"Ječmen";"Savinjska";"2016";4,7
"Ječmen";"Savinjska";"2017";4,3
"Ječmen";"Savinjska";"2018";3,9
"Ječmen";"Savinjska";"2019";4,1
"Ječmen";"Zasavska";"2010";3,5
"Ječmen";"Zasavska";"2011";3,5
"Ječmen";"Zasavska";"2012";3
"Ječmen";"Zasavska";"2013";3,1
"Ječmen";"Zasavska";"2014";3,5
"Ječmen";"Zasavska";"2015";3,3
"Ječmen";"Zasavska";"2016";2,8
"Ječmen";"Zasavska";"2017";2,8
"Ječmen";"Zasavska";"2018";2,2
"Ječmen";"Zasavska";"2019";2,3
"Ječmen";"Posavska";"2010";3,9
"Ječmen";"Posavska";"2011";4,2
"Ječmen";"Posavska";"2012";4,5
"Ječmen";"Posavska";"2013";3,8
"Ječmen";"Posavska";"2014";4,5
"Ječmen";"Posavska";"2015";4,6
"Ječmen";"Posavska";"2016";4,6
"Ječmen";"Posavska";"2017";3,9
"Ječmen";"Posavska";"2018";4,2
"Ječmen";"Posavska";"2019";4,7
"Ječmen";"Jugovzhodna Slovenija";"2010";3,5
"Ječmen";"Jugovzhodna Slovenija";"2011";3,8
"Ječmen";"Jugovzhodna Slovenija";"2012";3,7
"Ječmen";"Jugovzhodna Slovenija";"2013";2,7
"Ječmen";"Jugovzhodna Slovenija";"2014";4
"Ječmen";"Jugovzhodna Slovenija";"2015";3,9
"Ječmen";"Jugovzhodna Slovenija";"2016";4,1
"Ječmen";"Jugovzhodna Slovenija";"2017";3,6
"Ječmen";"Jugovzhodna Slovenija";"2018";3,5
"Ječmen";"Jugovzhodna Slovenija";"2019";4
"Ječmen";"Osrednjeslovenska";"2010";4,4
"Ječmen";"Osrednjeslovenska";"2011";4,5
"Ječmen";"Osrednjeslovenska";"2012";4,5
"Ječmen";"Osrednjeslovenska";"2013";3,8
"Ječmen";"Osrednjeslovenska";"2014";4,6
